cty;reg
SPP;WLD
SPP;DVD
SVK;EUR
SVK;WLD
SVK;DVD
SVN;EUR
SVN;WLD
SVN;DVD
SWE;EUR
SWE;WLD
SWE;DVD
SWZ;SSA
SWZ;WLD
SWZ;DVG
SYR;MEN
SYR;WLD
SYR;DVG
TCD;SSA
TCD;WLD
TCD;DVG
TGO;SSA
TGO;WLD
TGO;DVG
THA;EAP
THA;WLD
THA;DVG
TJK;FSU
TJK;WLD
TJK;DVG
TKM;FSU
TKM;WLD
TKM;DVG
TLS;EAP
TLS;WLD
TLS;DVG
TUN;MEN
TUN;WLD
TUN;DVG
TUR;MEN
TUR;WLD
TUR;DVG
TZA;SSA
TZA;WLD
TZA;DVG
UGA;SSA
UGA;WLD
UGA;DVG
UKP;EUR
UKP;WLD
UKP;DVD
UKR;FSU
UKR;WLD
UKR;DVG
URY;LAC
URY;WLD
URY;DVG
USA;NAM
USA;WLD
USA;DVD
UZB;FSU
UZB;WLD
UZB;DVG
VEN;LAC
VEN;WLD
VEN;DVG
VNM;EAP
VNM;WLD
VNM;DVG
VUT;EAP
VUT;WLD
VUT;DVG
YEM;MEN
YEM;WLD
YEM;DVG
ZAF;SSA
ZAF;WLD
ZAF;DVG
ZMB;SSA
ZMB;WLD
ZMB;DVG
ZWE;SSA
ZWE;WLD
ZWE;DVG
